Shamil Abdurakhimov
Daichi Abe
Klidson Abreu
Juan Adams
Anthony Adams
Zarrukh Adashev
Israel Adesanya
Mariya Agapova
Jessica Aguilar
Kevin Aguilar
Christian Aguilera
Omari Akhmedov
Yoshihiro Akiyama
Rostem Akman
Mostapha Al-Turk
Herdem Alacabek
Alatengheili
Amir Albazi
John Albert
Junior Albini
Aleksandra Albu
Iuri Alcantara
Ildemar Alcantara
Irene Aldana
Hector Aldana
Jose Alday
Jose Aldo
JJ Aldrich
Jim Alers
John Alessio
Houston Alexander
Marcio Alexandre Junior
Bill Algeo
Sultan Aliev
John Allan
Arnold Allen
Brendan Allen
Ben Alloway
Ricardo Almeida
Thomas Almeida
Jailton Almeida
Lucas Almeida
Sarah Alpar
Ali AlQaisi
Victor Altamirano
Eddie Alvarez
Jaime Alvarez
Joel Alvarez
Thiago Alves
Warlley Alves
Rafael Alves
Sam Alvey
Adlan Amagov
Alen Amedovski
Makwan Amirkhani
Eryk Anders
Corey Anderson
Megan Anderson
Jessica Andrade
Viscardi Andrade
Dylan Andrews
Collin Anglin
Chad Anheliger
Magomed Ankalaev
Gadzhimurad Antigulov
Adam Antolin
Shinsho Anzai
 Aoriqileng
Felipe Arantes
Igor Araujo
Viviane Araujo
Julio Arce
Hashem Arkhagha
Andrei Arlovski
Austin Arnett
Akbarh Arreola
Matt Arroyo
Antonio Arroyo
Teddy Ash
Askar Askar
Askar Askarov
Cyril Asker
Scott Askham
Ben Askren
Tom Aspinall
Junior Assuncao
Raphael Assuncao
Rich Attonito
Olivier Aubin-Mercier
Marcus Aurelio
Blas Avena
Julia Avila
Jessin Ayari
Abu Azaitar
Ottman Azaitar
Hunter Azure
Seth Baczynski
Ryan Bader
Miguel Baeza
Ali Bagautinov
Melsik Baghdasaryan
Siyar Bahadurzada
Ignacio Bahamondes
Shamar Bailey
Oluwale Bamgbose
Humberto Bandenay
Tae Hyun Bang
Antonio Banuelos
Renan Barao
Maycee Barber
Bryan Barberena
Edson Barboza
Raoni Barcelos
Daniel Barez
Luke Barnatt
James Barnes
Shonte Barnes
Josh Barnett
Chris Barnett
Phil Baroni
Peter Barrett
Marc-Andre Barriault
Francimar Barroso
Pat Barry
Enrique Barzola
Javid Basharat
Bryan Battle
Alan Baudot
Mario Bautista
Chris Beal
Ariel Beck
Johnny Bedford
Chase Beebe
Mirsad Bektic
Diana Belbita
Alan Belcher
Vitor Belfort
Danilo Belluardo
Joey Beltran
Marco Beltran
Joseph Benavidez
