reach_diff,5f_win_diff,5f_loss_diff,5f_finish_diff,5f_finished_diff,5f_opp_win_diff,strpm_diff,tdpm_diff,result
-1,1,-1,1,1,-9,-2.262678062678063,0.05356125356125356,1
-2,1,-1,0,0,-30,-2.3726042476042473,0.0383644133644134,1
-4,0,0,0,0,-24,0.9102213086641218,-0.3023620636617467,0
9,2,-2,0,-1,-26,1.4164191750278707,0.0,1
7,0,0,-1,0,14,-0.2262133120791594,0.0,1
7,3,-3,0,0,29,-1.0168834422181492,-0.07722007722007722,1
8,0,0,-2,0,41,-4.975388860902796,0.0,1
2,1,-1,-1,-1,4,0.049348117460704444,0.0,0
4,0,0,-2,0,-29,-0.6098445320928922,-0.032862272059993994,0
0,1,-1,-1,0,-9,1.087598971070605,0.0263042525208242,1
4,0,0,-2,1,-3,2.4117728018633207,0.025355989624689004,1
-3,4,-4,2,-1,-44,-0.037355199791748284,0.07028504490433424,1
2,2,-2,-1,-1,-11,-1.8184234502695635,-0.29236112538276576,1
-1,0,0,-1,0,22,-0.7691442172454828,0.022222222222222223,1
-5,3,-3,1,-2,-4,-0.13444909344490874,-0.08396094839609484,1
1,1,-1,2,-1,-2,1.3429452251491516,-0.030030030030030033,1
0,3,-3,1,1,9,1.2279105193517754,0.07439553626782393,1
-1,-1,0,-1,0,-8,-1.991292332559898,0.18084486968914842,0
-5,0,0,-1,-1,-14,-1.5814263798779122,0.3854389721627409,1
-1,0,0,0,0,2,-2.207125297537753,-0.17208413001912046,0
0,-1,1,0,2,2,0.2797682579056868,-0.025094102885821836,0
-2,-3,3,-1,1,-12,-0.4893669941549561,0.0,0
-4,0,0,-1,1,-29,-0.0778722508002585,0.10752973812988956,0
-4,0,0,2,0,-29,-0.7665955525417236,0.05490173242649127,1
-3,-1,1,-2,1,-19,0.01483962604142297,0.12919896640826872,1
-1,-2,2,-2,1,-24,-2.006974858069748,-0.06763990267639902,1
-5,0,0,-1,-1,-14,-3.1934050695902156,0.29571217348447515,0
-3,-1,1,-1,0,27,-3.5694252180485604,0.10627478789628789,0
5,0,0,3,0,-11,2.7561025086212725,-0.34214618973561434,0
-3,0,0,0,-1,-13,-7.314441030308963,0.20295983086680763,0
-3,2,-2,1,-1,-18,-3.4944570135746607,0.15305429864253395,0
0,-1,1,2,1,9,-3.15104611009547,0.09786715417428397,0
5,1,-1,-2,0,-7,3.909474006601858,0.1503567498894019,1
3,2,-2,-1,-2,-48,0.6191452991452997,0.13367521367521368,0
0,1,-1,0,0,-17,-4.803904473426391,-0.2614487178334846,1
-2,3,-3,3,-2,-35,1.556688264938805,-0.09520518358531317,1
0,3,-3,2,-2,-6,-1.9294389820705606,0.15037593984962405,1
-1,3,-3,2,-1,-29,1.2215050041154862,0.11656143759106363,1
5,0,0,1,-3,-13,-1.6667703876572024,-0.054479450278750174,1
5,0,0,2,-1,-10,-1.1922381416052303,0.006885519543747401,0
0,1,-1,1,-2,-8,0.3667992574913823,0.047414478918058875,0
-5,0,0,2,-1,-7,-2.6895000221425085,0.04951950755059563,1
3,0,0,2,0,-19,-2.149911485993959,0.05623242736644799,0
-1,0,0,0,0,-1,-1.3087394745857452,0.0037143217756621764,0
0,1,-1,1,-1,-10,-0.912207986267072,-0.04780731207279165,1
-10,1,0,-1,0,0,-4.516632271153242,-0.16390919584455566,0
0,4,-4,1,0,-18,0.37108066971080667,0.15251141552511416,0
-1,-1,1,-1,-1,13,-0.4373611838298106,-3.857918377470071e-05,0
-13,0,0,-2,-2,-6,0.34514428146869935,0.022222222222222223,0
3,2,-2,1,0,-9,2.569490959122595,0.08958136001651677,1
-1,1,-1,4,-1,-8,-2.218885339013135,-0.022222222222222223,0
0,0,0,0,-2,4,0.6722947451584069,0.026246719160104987,1
-2,-1,1,1,0,6,3.4798383132767006,-0.18597442851607904,0
1,2,-2,1,-3,-23,0.6458616010854814,-0.08264462809917356,1
-3,-1,1,-2,0,14,-2.3710129601849355,0.0,0
-6,-1,1,0,0,23,4.243030899316992,-0.055325034578146616,0
6,2,-2,2,-4,-49,3.234025418119236,0.0,0
-1,0,0,-2,0,-35,-3.8716302445759023,0.28511087645195354,0
-8,1,-1,0,1,4,-1.3385594332196273,-0.3276699029126213,0
-10,-1,1,-1,1,29,0.0809941025206724,0.0,0
3,0,0,-3,0,-6,2.3925415949512336,0.020042073054121257,0
0,-1,1,0,0,-22,0.12490776998178887,-0.1628222523744912,1
2,1,-1,0,-2,-3,-0.21479974799038093,-0.3026481715006305,0
-2,5,-5,5,-3,-14,3.343283582089553,0.255863539445629,1
2,0,0,0,-3,-27,-1.0641880994822168,-0.4389270859859095,0
8,0,0,-1,0,-57,2.881372901427459,0.4342581423401689,1
0,1,-1,0,-2,-40,1.8485275466254243,0.3819918144611187,1
4,0,0,0,0,24,-0.9102213086641218,0.3023620636617467,1
3,1,-1,0,-1,24,-1.693544114564498,0.5191059841384282,1
0,0,0,1,0,1,-2.8551135289387237,0.3569600915592551,1
1,1,-1,1,-1,-14,0.738762413007827,0.43735705583432816,0
2,1,-1,-1,0,-20,0.7508373181992427,0.3730017761989343,1
-3,-1,1,0,0,-5,-4.2192419001905845,0.13129102844638948,0
-5,-1,1,-1,-1,-1,-5.461672920132909,0.021096300127346257,1
-4,0,0,1,0,-15,0.288888888888889,0.06666666666666668,1
-3,-1,1,-2,0,-8,-1.9714533924072628,-0.029623838067935032,0
-6,0,0,-1,0,-16,-2.313928012519562,0.18608402552064518,0
2,1,-1,1,-1,-18,3.5663965289213464,-0.10122311261071278,0
-5,0,0,0,-2,2,0.7578974736750874,0.0,1
1,-1,1,-4,1,-59,-4.001691069727995,0.08823174361773363,0
2,-1,1,-4,1,19,-5.794800235456524,0.12979989183342347,1
-8,1,-1,0,-1,-8,-1.7807600405878694,0.21206070723271467,0
-7,0,0,-1,1,7,-0.7825522690978373,0.23334952857386118,1
0,0,0,2,1,-21,1.8520487264673324,-0.17777777777777778,0
2,-2,2,-1,1,1,-0.4205802528060696,0.04697183979203469,0
5,1,-1,1,1,-7,-0.24834917083113028,0.23986293546544832,1
0,1,-1,1,1,-7,-1.3190938511326864,0.17319626879878164,1
1,2,-2,1,-1,-5,1.5750113999088013,0.06639306885544921,1
-2,1,-1,0,1,-14,7.766590119531296,-0.04357298474945534,1
4,0,0,2,0,-1,2.739401999149763,-0.03253796095444685,0
0,4,-4,4,-1,-37,2.377622377622377,0.0,0
3,1,-1,1,1,5,2.8439571539061923,0.05016722408026756,1
5,2,-2,2,-1,-19,2.8696276043868636,0.03607937462417318,1
3,0,0,0,1,13,7.314441030308963,-0.20295983086680763,1
5,0,0,-1,0,-23,5.4162481404942895,0.0,0
0,1,-1,1,0,-2,4.4187957418496335,-0.022222222222222223,0
0,0,0,1,1,-11,-1.114420857165507,-0.05263296971502285,0
6,0,0,-1,-1,-25,0.8708537668455807,-0.1623326474660606,0
3,0,0,-1,0,-13,-0.49452133794694353,-0.0792964244521338,0
2,0,0,1,0,-7,2.3618114522098845,-0.1111111111111111,0
-7,0,0,1,1,2,-2.6237814142989686,0.0,1
-3,2,-2,3,0,-4,-2.0130268199233714,0.12145593869731802,1
